id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-11-09T05:00:29;RAM Focused;PAID;CASH_ON_DELIVERY;2020-11-09T13:22:36;64379;Australia 1080p Intranet;1
2;2020-11-09T02:14:45;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-11-09T06:10:26;8068;Baby;2
3;2020-11-09T11:56:33;monitor;CANCELLED;CREDIT_CARD;2020-11-09T03:47:55;97394;Rubber synergy program;3
4;2020-11-09T00:30:35;EXE parse strategic;CANCELLED;PAYPAL;2020-11-09T04:35:45;2286;HTTP;4
5;2020-11-08T20:45:46;black Awesome;PAID;CASH_ON_DELIVERY;2020-11-08T20:47:40;49531;Agent SDD auxiliary;5
6;2020-11-09T07:18:20;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-11-08T23:10:30;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-11-09T09:51:56;back up Toys;ISSUED;PAYPAL;2020-11-09T12:47:35;10756;Arizona Awesome Fresh Soap system;7
8;2020-11-09T06:24:06;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-11-09T06:13:09;50263;deploy;8
9;2020-11-09T00:14:04;Credit Card Account;CANCELLED;CREDIT_CARD;2020-11-09T10:37:13;308;payment Fantastic Fresh Soap;9
10;2020-11-09T10:38:27;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-11-09T14:24:16;94911;Granite Rubber Pizza;10
